City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
26,Holt,US,74.95,mist,42.6406,-84.5153,Causeway Bay Lansing Hotel & Convention Center
31,Lagoa,PT,71.01,overcast clouds,39.05,-27.9833,Casa Das Faias
36,Santa Lucia,ES,69.76,few clouds,27.9117,-15.5407,Las Tirajanas
40,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Jamestown,US,71.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
61,Rikitea,PF,73.38,few clouds,-23.1203,-134.9692,People ThankYou
67,Seoni,IN,73.31,overcast clouds,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
70,Price,US,70.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
72,Saint-Pierre,RE,73.08,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
78,Zemio,CF,71.47,light rain,5.0314,25.1361,OCHA Office
82,Lalitpur,NP,68.38,broken clouds,27.6667,85.3333,Hotel Goodwill
89,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
90,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
95,Cap Malheureux,MU,72.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
110,Payo,ID,73.02,light rain,-3.7508,103.6372,Mess keban agung
115,Posadas,AR,71.58,thunderstorm with drizzle,-27.3671,-55.8961,Hotel Posadas
123,Yambio,SS,68.05,broken clouds,4.5721,28.3955,Naivasha Hotel
126,Kawalu,ID,70.3,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
132,Poum,NC,74.62,scattered clouds,-20.2333,164.0167,Gîte kajeon
153,Pisco,PE,68.05,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
171,Karratha,AU,70.63,clear sky,-20.7377,116.8463,ibis Styles Karratha
174,Jaynagar,IN,74.21,overcast clouds,26.5833,86.15,Ambey Hotel
176,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
180,Quatre Cocos,MU,72.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
187,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
189,Adjumani,UG,69.37,broken clouds,3.3779,31.7909,Hotel Zawadi
196,Ohara,JP,69.94,clear sky,35.25,140.3833,Sakigake
197,Cremlingen,DE,71.28,clear sky,52.25,10.65,Hotel Aquarius GmbH
208,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
209,Mareeba,AU,69.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
213,Katsuura,JP,70.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
215,Liwale,TZ,73.51,broken clouds,-9.7667,37.9333,Samoma lodge
230,Japura,ID,74.79,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
231,Nantucket,US,74.25,scattered clouds,41.2835,-70.0995,Jared Coffin House
235,Morrope,PE,71.71,broken clouds,-6.5417,-80.0111,Hipolito santamaria
241,Newton,US,72.16,overcast clouds,42.337,-71.2092,Hotel Indigo Boston - Newton Riverside
246,Palmer,US,74.68,light rain,42.1584,-72.3287,Wedgewood Motel
