,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Bethel,US,41.3712,-73.414,77.49,65,40,5.75,scattered clouds
1,Atuona,PF,-9.8,-139.0333,77.72,73,74,18.28,broken clouds
2,Ostrovnoy,RU,68.0531,39.5131,45.41,87,43,20.02,scattered clouds
3,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,100,2.24,light intensity drizzle
4,Saldanha,ZA,-33.0117,17.9442,55.45,71,2,22.01,clear sky
5,Yabrud,SY,33.9674,36.6574,60.46,54,0,4.09,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,41.16,54,0,7.09,clear sky
7,Guerrero Negro,MX,27.9769,-114.0611,83.07,45,63,2.24,broken clouds
8,Morwell,AU,-38.2333,146.4,57.34,97,99,6.73,light rain
9,Hermanus,ZA,-34.4187,19.2345,55.9,72,44,8.08,light rain
10,Flinders,AU,-34.5833,150.8552,62.19,78,88,1.99,overcast clouds
11,East London,ZA,-33.0153,27.9116,56.34,82,20,0.0,light rain
12,Hobart,AU,-42.8794,147.3294,54.1,96,90,0.0,overcast clouds
13,Cidreira,BR,-30.1811,-50.2056,66.04,88,100,11.77,light rain
14,Ossora,RU,59.2353,163.0719,44.15,94,100,29.35,moderate rain
15,Auki,SB,-8.7676,160.7034,76.33,88,30,2.21,scattered clouds
16,Bairiki,KI,1.3292,172.9752,80.6,74,20,11.5,few clouds
17,Avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,light rain
18,Mataura,NZ,-46.1927,168.8643,44.47,92,100,6.91,overcast clouds
19,Carnarvon,AU,-24.8667,113.6333,62.67,77,1,16.11,clear sky
20,Harper,LR,4.375,-7.7169,79.18,82,100,7.45,overcast clouds
21,Kodiak,US,57.79,-152.4072,40.51,52,1,9.22,clear sky
22,Ban Chang,TH,12.7254,101.0553,84.47,90,20,6.91,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,35.68,light intensity shower rain
24,Cape Town,ZA,-33.9258,18.4232,58.26,54,20,12.66,few clouds
25,Rocha,UY,-34.4833,-54.3333,57.81,52,82,15.28,broken clouds
26,Holt,US,42.6406,-84.5153,74.95,86,75,5.75,mist
27,Ilulissat,GL,69.2167,-51.1,30.22,64,86,5.75,overcast clouds
28,Aksarka,RU,66.5606,67.7975,29.41,76,28,6.51,scattered clouds
29,Ushuaia,AR,-54.8,-68.3,47.86,61,75,11.5,light rain
30,Itarema,BR,-2.9248,-39.9167,85.93,62,1,21.36,clear sky
31,Lagoa,PT,39.05,-27.9833,71.01,91,91,11.83,overcast clouds
32,Husavik,IS,66.0449,-17.3389,44.51,95,95,16.02,overcast clouds
33,Constitucion,CL,-35.3333,-72.4167,59.34,50,0,19.66,clear sky
34,Albany,US,42.6001,-73.9662,67.48,86,100,1.19,overcast clouds
35,Khatanga,RU,71.9667,102.5,17.1,95,91,10.04,overcast clouds
36,Santa Lucia,ES,27.9117,-15.5407,69.76,70,20,27.63,few clouds
37,Acajutla,SV,13.5928,-89.8275,95.34,61,24,6.49,few clouds
38,Yellowknife,CA,62.456,-114.3525,52.41,50,20,11.5,few clouds
39,Luderitz,NA,-26.6481,15.1594,61.77,48,1,27.87,clear sky
